"Region","IncidentNumber","Date","Time","Location","Duration","AttendingStations","Result"
"North","F3944557","28/03/2024","00:03:01","MAEROA HAMILTON CITY",NA,"Hamilton, Chartwell","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (RESC)"
"North","F3944561","28/03/2024","01:26:52","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City, Parnell","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3944564","28/03/2024","02:13:33","PARAKAI AUCKLAND",NA,"Helensville","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3944566","28/03/2024","02:33:35","FORDLANDS ROTORUA DISTRICT",NA,"Rotorua","7100: FALSE ALARM (VEG)"
"North","F3944578","28/03/2024","03:47:04","HILLCREST HAMILTON CITY",NA,"Hamilton, Chartwell","7100: FALSE ALARM (STRU)"
"North","F3944580","28/03/2024","04:09:22","LAINGHOLM AUCKLAND",NA,"Laingholm","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3944582","28/03/2024","04:12:12","GRAFTON AUCKLAND",NA,"Auckland City, Parnell","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3944587","28/03/2024","05:06:01","PENROSE AUCKLAND",NA,"Ellerslie, Mount Wellington","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3944592","28/03/2024","05:52:01","WHATAWHATA WAIKATO DISTRICT",NA,"Hamilton","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC)"
"North","F3944593","28/03/2024","06:01:13","MOUNT WELLINGTON AUCKLAND",NA,"Otahuhu","7100: FALSE ALARM (STRU)"
"North","F3944595","28/03/2024","06:20:16","PENROSE AUCKLAND",NA,"Onehunga, Mount Wellington","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3944598","28/03/2024","06:24:50","STANMORE BAY AUCKLAND",NA,"Manly","7100: FALSE ALARM (MIN)"
"North","F3944599","28/03/2024","06:32:15","BROWNS BAY AUCKLAND",NA,"East Coast Bays","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3944601","28/03/2024","06:34:40","MOUNT MAUNGANUI TAURANGA CITY",NA,"Mount Maunganui, Tauranga","7100: FALSE ALARM (STRU)"
"North","F3944604","28/03/2024","06:58:10","HUNTLY WAIKATO DISTRICT",NA,"Huntly, Ngaruawahia","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3944608","28/03/2024","07:23:21","ROTOKAWA TAUPO DISTRICT",NA,"Taupo","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC)"
"North","F3944610","28/03/2024","07:28:45","TE HANA AUCKLAND",NA,"Wellsford, Kaiwaka","1500: MISCELLANEOUS FIRE (VEG)"
"North","F3944614","28/03/2024","07:37:55","ROSEDALE AUCKLAND",NA,"Albany, Takapuna","7100: FALSE ALARM (SPRNKLR)"
"North","F3944616","28/03/2024","07:40:49","BROWNS BAY AUCKLAND",NA,"East Coast Bays","7100: FALSE ALARM (STRU)"
"North","F3944618","28/03/2024","07:43:39","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City, Parnell, Grey Lynn","7100: FALSE ALARM (STRU)"
"North","F3944623","28/03/2024","08:00:54","MARSDEN POINT WHANGAREI DISTRICT",NA,"Ruakaka, Whangarei","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3944636","28/03/2024","08:09:46","TAKANINI AUCKLAND",NA,"Papakura, Manurewa","7100: FALSE ALARM (STRU)"
"North","F3944643","28/03/2024","08:27:56","ALBANY AUCKLAND",NA,"East Coast Bays, Albany","7100: FALSE ALARM (SPRNKLR)"
"North","F3944645","28/03/2024","08:29:58","OWHATA ROTORUA DISTRICT",NA,"Rotorua","1200: MOBILE PROPERTY FIRE (MIN)"
"North","F3944646","28/03/2024","08:32:17","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City, Parnell","7100: FALSE ALARM (SPRNKLR)"
"North","F3944656","28/03/2024","08:40:58","OTARA AUCKLAND",NA,"Otara","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3944657","28/03/2024","08:42:00","TOKOROA SOUTH WAIKATO DISTRICT",NA,"Tokoroa","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3944666","28/03/2024","08:54:19","BLOCKHOUSE BAY AUCKLAND",NA,"Avondale, Mount Roskill","7100: FALSE ALARM (STRU)"
"North","F3944676","28/03/2024","09:02:41","AUCKLAND CENTRAL AUCKLAND",NA,"Parnell, Auckland City","3100: RESCUE,EMERGENCY,MEDICAL CALL (RESC)"
"North","F3944682","28/03/2024","09:06:47","TAURANGA TAURANGA CITY",NA,"Tauranga, Mount Maunganui","1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZGAS)"
"North","F3944688","28/03/2024","09:13:24","AUCKLAND CENTRAL AUCKLAND",NA,"Parnell, Balmoral, Remuera, Grey Lynn","7100: FALSE ALARM (SPRNKLR)"
"North","F3944689","28/03/2024","09:13:33","BROOKFIELD TAURANGA CITY",NA,"Greerton, Tauranga","7100: FALSE ALARM (STRU)"
"North","F3944695","28/03/2024","09:19:15","TAKANINI AUCKLAND",NA,"Manurewa, Papakura","7100: FALSE ALARM (STRU)"
"North","F3944710","28/03/2024","09:36:11","SAINT ANDREWS HAMILTON CITY",NA,"Te Rapa","7100: FALSE ALARM (STRU)"
"North","F3944717","28/03/2024","09:44:57","MANGAWHAI KAIPARA DISTRICT",NA,"Mangawhai","7100: FALSE ALARM (STRU)"
"North","F3944720","28/03/2024","09:50:53","MANGERE AUCKLAND",NA,"Onehunga, Mangere","7100: FALSE ALARM (SPRNKLR)"
"North","F3944733","28/03/2024","09:58:46","ONEHUNGA AUCKLAND",NA,"Ellerslie, Mount Roskill","1100: STRUCTURE FIRE (STRU)"
"North","F3944735","28/03/2024","10:01:45","MOUNT WELLINGTON AUCKLAND",NA,"Mount Wellington, Howick","7100: FALSE ALARM (SPRNKLR)"
"North","F3944736","28/03/2024","10:01:09","NEWMARKET AUCKLAND",NA,"Remuera, Auckland City","7100: FALSE ALARM (STRU)"
"North","F3944747","28/03/2024","10:16:48","DRURY AUCKLAND",NA,"Manurewa, Papakura","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC)"
"North","F3944748","28/03/2024","10:16:58","ROSEDALE AUCKLAND",NA,"Albany, Takapuna","7100: FALSE ALARM (STRU)"
"North","F3944777","28/03/2024","10:45:28","MOUNT WELLINGTON AUCKLAND",NA,"Mount Wellington","7100: FALSE ALARM (STRU)"
"North","F3944812","28/03/2024","11:07:28","NEWMARKET AUCKLAND",NA,"Remuera, Auckland City, Parnell","7100: FALSE ALARM (STRU)"
"North","F3944835","28/03/2024","11:27:39","RANDWICK PARK AUCKLAND",NA,"Manurewa, Otahuhu","1200: MOBILE PROPERTY FIRE (MIN)"
"North","F3944854","28/03/2024","11:47:52","KAIMARAMA THAMES-COROMANDEL DISTRICT",NA,"Whitianga","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3944861","28/03/2024","11:51:48","LEAMINGTON WAIPA DISTRICT",NA,"Cambridge","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCHEVY)"
"North","F3944862","28/03/2024","11:52:39","SAINT JOHNS AUCKLAND",NA,"Mount Wellington, Saint Heliers","7100: FALSE ALARM (STRU)"
"North","F3944868","28/03/2024","12:04:37","PUTARURU SOUTH WAIKATO DISTRICT",NA,"Putaruru","7100: FALSE ALARM (STRU)"
"North","F3944875","28/03/2024","12:15:38","TE ATATU SOUTH AUCKLAND",NA,"Te Atatu","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3944876","28/03/2024","12:15:25","GOODWOOD HEIGHTS AUCKLAND",NA,"Otahuhu","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCHEVY)"
"North","F3944883","28/03/2024","12:32:31","EPSOM AUCKLAND",NA,"Onehunga, Remuera","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (STRU)"
"North","F3944891","28/03/2024","12:35:03","ENDERLEY HAMILTON CITY",NA,"Chartwell, Hamilton","1100: STRUCTURE FIRE (STRU)"
"North","F3944893","28/03/2024","12:36:37","DANNEMORA AUCKLAND",NA,"Otara, Howick","7100: FALSE ALARM (SPRNKLR)"
"North","F3944895","28/03/2024","12:37:13","WIRI AUCKLAND",NA,"Papakura, Papatoetoe","7100: FALSE ALARM (SPRNKLR)"
"North","F3944903","28/03/2024","12:47:07","MORRINSVILLE MATAMATA-PIAKO DISTRICT",NA,"Morrinsville","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3944914","28/03/2024","13:02:42","HILLCREST AUCKLAND",NA,"Takapuna","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (HAZ)"
"North","F3944915","28/03/2024","13:04:50","WAIHAHA TAUPO DISTRICT",NA,"Turangi, Southern Lakes, Kinloch, Lake Taupo","1300: VEGETATION FIRE (VEG)"
"North","F3944946","28/03/2024","13:32:40","PARNELL AUCKLAND",NA,"Remuera, Parnell, Auckland City","7100: FALSE ALARM (STRU)"
"North","F3944947","28/03/2024","13:31:51","CAMBRIDGE WAIPA DISTRICT",NA,"Cambridge","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3944951","28/03/2024","13:35:46","TE PUKE WESTERN BAY OF PLENTY DISTRICT",NA,"Te Puke","7100: FALSE ALARM (STRU)"
"North","F3944959","28/03/2024","13:47:11","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City, Remuera","7100: FALSE ALARM (SPRNKLR)"
